lat_r,lon_r,accident_count,latitude,longitude,total_casualties,avg_severity,risk_score
27.1,93.63,522,27.100041616187738,93.62978602653257,583.0,2.896551724137931,30954.6
27.1,93.62,516,27.100060032732557,93.61997894905038,571.0,2.9089147286821704,29979.6
26.46,74.59,324,26.461528362006174,74.5897195025,512.0,2.759259259259259,16912.8
27.09,93.63,380,27.091502032605263,93.63003885415789,425.0,2.886842105263158,16530.0
27.09,93.62,364,27.091439154615383,93.62028878502747,400.0,2.8846153846153846,14924.0
26.46,74.61,318,26.461683658553458,74.60992591654087,459.0,2.792452830188679,14914.2
27.1,93.61,355,27.099694530366197,93.61156372794366,388.0,2.870422535211268,14129.0
26.46,74.6,279,26.46141202910394,74.59981233383513,400.0,2.770609318996416,11439.0
26.46,74.64,219,26.460079415479452,74.6396637022831,323.0,2.7945205479452055,7292.7
26.46,74.62,208,26.46174712322115,74.61874506870193,322.0,2.8028846153846154,6905.6
26.47,74.65,213,26.469921610798124,74.64957790995305,291.0,2.8028169014084505,6411.3
25.78,87.46,217,25.78007859064516,87.4601000032258,268.0,2.9308755760368665,6032.6
27.09,93.61,226,27.09154728221239,93.61157540261061,249.0,2.938053097345133,5853.4
26.46,74.65,197,26.46009244461929,74.64996533588833,274.0,2.8375634517766497,5594.8
26.47,74.64,202,26.470325138762377,74.6402243220792,264.0,2.8267326732673266,5534.8
25.77,87.49,198,25.769915973737373,87.48982431530303,253.0,2.9494949494949494,5207.4
25.77,87.46,198,25.770126944747474,87.45984428419193,236.0,2.893939393939394,4870.8
25.78,87.47,180,25.780331045333334,87.46970185466667,243.0,2.9166666666666665,4554.0
25.78,87.49,187,25.78006893315508,87.48998161213905,230.0,2.8983957219251337,4488.0
25.77,87.48,176,25.769589488693182,87.47967351312501,210.0,2.9375,3872.0
25.78,87.48,171,25.77999235538012,87.48017551321638,214.0,2.9415204678362574,3830.4
25.77,87.47,172,25.769749439302327,87.46994869075581,199.0,2.9302325581395348,3594.8
25.79,87.46,145,25.788988710344828,87.45991820993103,192.0,2.9034482758620688,2929.0
25.79,87.48,143,25.78859487867133,87.4800417379021,176.0,2.909090909090909,2659.8
25.79,87.49,141,25.788908820992905,87.4903637787234,170.0,2.8865248226950353,2538.0
25.79,87.47,135,25.788674837037036,87.47069324955555,164.0,2.888888888888889,2349.0
8.88,76.68,111,8.88012783945045,76.68027192243244,143.0,2.90990990990991,1698.3
8.89,76.68,107,8.890004847140187,76.67971489168225,140.0,2.878504672897196,1605.0
8.87,76.62,103,8.870616670466019,76.61998663864078,138.0,2.8932038834951457,1524.4
8.89,76.69,105,8.890146723942857,76.68988271133334,127.0,2.9047619047619047,1438.5
8.88,76.67,101,8.879825223742575,76.66995091762377,128.0,2.8514851485148514,1393.8
8.87,76.67,103,8.870296356902912,76.66981741058252,115.0,2.9223300970873787,1287.5
8.88,76.69,103,8.880033857893203,76.69003094135923,114.0,2.9029126213592233,1277.2
